Author,Title,Abstract,Keywords,Summary
A. Jain,Micro-Computed tomography (CT) based assessment of dental regenerative therapy in the canine mandible model,"High-resolution 3D bone-tissue structure measurements may provide information critical to the understanding of the bone regeneration processes and to the bone strength assessment. Tissue engineering studies rely on such nondestructive measurements to monitor bone graft regeneration area. In this study, we measured bone yield, fractal dimension and trabecular thickness through micro-CT slices for different grafts and controls. Eight canines underwent surgery to remove a bone volume (defect) in the canine’s jaw at a total of 44 different locations. We kept 11 defects empty for control and filled the remaining ones with three regenerative materials; NanoGen (NG), a FDA-approved material (n=11), a novel NanoCalcium Sulfate (NCS) material (n=11) and NCS alginate (NCS+alg) material (n=11). After a minimum of four and eight weeks, the canines were sacrificed and the jaw samples were extracted. We used a custom-built micro-CT system to acquire the data volume and developed software to measure the bone yield, fractal dimension and trabecular thickness. The software used a segmentation algorithm based on histograms derived from volumes of interest indicated by the operator. Using bone yield and fractal dimension as indices we are able to differentiate between the control and regenerative material (p<0.005). Regenerative material NCS showed an average 63.15% bone yield improvement over the control sample, NCS+alg showed 55.55% and NanoGen showed 37.5%. The bone regeneration process and quality of bone were dependent upon the position of defect and time period of healing. This study presents one of the first quantitative comparisons using non-destructive Micro-CT analysis for bone regenerative material in a large animal with a critical defect model. Our results indicate that Micro-CT measurement could be used to monitor in-vivo bone regeneration studies for greater regenerative process understanding.","Regenerative Materials, Quantitative Analysis, Bone Regeneration, Micro-CT, LabVIEW","This study investigates the effectiveness of three different bone regenerative materials (NanoGen, NanoCalcium Sulfate, and NanoCalcium Sulfate alginate) in a canine mandible model using micro-computed tomography (micro-CT). The study found that all three materials significantly improved bone regeneration compared to the control group. NanoCalcium Sulfate showed the most significant improvement, followed by NanoCalcium Sulfate alginate and NanoGen. The position of the defect and the healing time period were also found to influence the regeneration process."
A. Jaina,Quantitative Comparison of a High Resolution Micro-Angiographic Fluoroscopic (MAF) Detector with a Standard Flat Panel Detector (FPD) Using the New Metric of Generalized Measured Relative Object Detectability (GM-ROD),"A novel amorphous selenium (a-Se) direct detector with CMOS readout has been designed, and relative detector performance investigated. The detector features include a 25μm pixel pitch, and 1000μm thick a-Se layer operating at 10V/μm bias field. A simulated detector DQE was determined, and used in comparative calculations of the Relative Object Detectability (ROD) family of prewhitening matched-filter (PWMF) observer and non-prewhitening matched filter (NPWMF) observer model metrics to gauge a-Se detector performance against existing high resolution micro-angiographic fluoroscopic (MAF) detectors and a standard flat panel detector (FPD). The PWMF-ROD or ROD metric compares two x-ray imaging detectors in their relative abilities in imaging a given object by taking the integral over spatial frequencies of the Fourier transform of the detector DQE weighted by an object function, divided by the comparable integral for a different detector. The generalized-ROD (G-ROD) metric incorporates clinically relevant parameters (focal-spot size, magnification, and scatter) to show the degradation in imaging performance for detectors that are part of an imaging chain. Preliminary ROD calculations using simulated spheres as the object predicted superior imaging performance by the a-Se detector as compared to existing detectors. New PWMF-G-ROD and NPWMF-G-ROD results still indicate better performance by the a-Se detector in an imaging chain over all sphere sizes for various focal spot sizes and magnifications, although a-Se performance advantages were degraded by focal spot blurring. Nevertheless, the a-Se technology has great potential to provide breakthrough abilities such as visualization of fine details including of neuro-vascular perforator vessels and of small vascular devices.","Comparative metrics, generalized metrics, micro-angiography, DQE, Detector Performance, relative object detectability, Microangiography, CMOS, Flat Panel Detector, amorphous selenium","This paper presents a comparative study of a novel amorphous selenium (a-Se) direct detector with existing high resolution micro-angiographic fluoroscopic (MAF) detectors and a standard flat panel detector (FPD). The study utilizes the Relative Object Detectability (ROD) family of metrics, including the generalized-ROD (G-ROD) metric, to assess the performance of these detectors in imaging small objects.  The results indicate that the a-Se detector exhibits superior imaging performance compared to existing detectors, particularly in terms of resolving fine details.  While focal spot blurring can degrade the performance advantage of the a-Se detector, its potential for breakthrough imaging capabilities in neuro-vascular applications is highlighted."
A. K. Sahu,Design and Performance Analysis of MIMO Patch Antenna Using CST Microwave Studio,"This paper presents the design and performance analysis of MIMO antenna system using Computer Simulation Technology (CST) Microwave Studio software. Several design techniques are discussed in detail with examples, and the fundamental properties of different antenna types are analyzed.","CST Microwave Studio software, MIMO, microstrip patch antenna, MIMO antenna system, Patch Antenna, Wireless Communication, CST Microwave Studio","This paper presents the design and performance analysis of MIMO patch antennas using CST Microwave Studio. The antennas are designed to operate at a resonant frequency of 2.45 GHz and are suitable for applications such as industrial, scientific, and medical (ISM) band. The main objective of this paper is to implement a 2 × 2 multiple-input multiple-output (MIMO) system and design four mutually orthogonal MIMO patch antennas with a single substrate, which are fed by four microstrip lines using the same resonant frequency of 2.45 GHz."
A. Karegowda,Diabetes Classiﬁcation using Radial Basis Function Network by Combining Cluster Validity Index and BAT Optimization with Novel Fitness Function,This paper discusses the use of cluster validity indices for diabetes diagnosis. The authors present a literature survey related to the problem and propose a methodology for identifying the optimal number of clusters. The experimental outcomes confirm the performance of the proposed methodology. The paper also reviews the performance of various neural network-based classifiers on the Pima Indians data set.,"diabetes diagnosis, Optimal number of clusters, Medical Diagnosis, Classiﬁcation, methodology, Diabetes, literature survey, Bat Algorithm, Radial Basis Function Networks, cluster validity indices, neural network-based classifiers","This paper presents a new model based on cluster validity index with radial basis neural network for classiﬁcation of diabetic patients data. The proposed model is tested on Pima Indians Diabetes data set and synthetic data sets, and experimental results proved that our approach performs better in terms of accuracy, sensitivity, speciﬁcity, classiﬁcation time, training time, network complexity and computational time compared to conventional radial basis function neural network."
A. Khotanzad,Unique Local Features in Lip Images for Recognition,"The experiments are carried out from images taken with a camera that is used for the regular use. And the color features of a lip are not explored in the proposed research. Still the recognition system exploits the grayscale local features of a lip images and eﬃciently matches it with local features of another lip image. If the color properties of a lip image is explored for recognition along with local features, the accuracy values would increase further.","grayscale features, Lip Pattern Recognition, SIFT, lip recognition, color features, Biometric, Local Feature Extraction, local features, SURF",The paper presents the results of experiments on lip recognition using local features. The recognition system exploits the grayscale local features of lip images and achieves high accuracy. The authors suggest that exploring color properties of lip images could further improve the accuracy.
A. Krishna,LPLX-lexicographic-based persistent labelling scheme of XML documents,"The increasing number of XML documents over the internet motivated us to develop indexing techniques to retrieve the XML data efficiently. Assigning unique labels to each node and determining the structural relationships is a critical problem in XML query processing. Labelling schemes designed for static XML documents will not support dynamic updates on XML documents. Some dynamic labelling schemes provide dynamic updates but, with a high cost and complexity. In this paper we propose a labelling scheme which supports the dynamic update without relabelling the existing nodes. It also determines the structural relationships efficiently by looking at the labels. A set of performance tests is carried to compute the time required to generate unique labels.","sibling relation, persistent labelling scheme, XPath, dynamic updates, ancestor-descendant relationship, collision avoidance, XML documents, labelling scheme, labelling time, label size, structural relationships, lexicographic order, XML query processing, parent-child relationship, tree traversal","This paper proposes a new labelling scheme, lexicographic-based persistent labelling (LPLX) scheme, which assigns a unique label in lexicographical order to each node in the XML tree with the tuple format (prefix, level, selfcode). The LPLX supports dynamic update of XML documents without relabelling the existing nodes and computes the structural relationships such as ancestor-descendant, parent-child and siblings at constant time."
A. Mallikarjuna Reddy,Alignment Free Cancellable Fingerprint Templates Using Ellipse Structure,"In this work, a new method for alignment free cancellable fingerprint templates was proposed using ellipse structure. Ellipse was formed by selecting one of the minutiae and core point of the fingerprint as focal points and the farthest minutia as the co-vertex. This method performs well because instead of storing spatial information of the fingerprints such as distance or orientation between minutia, etc., we are storing the ellipse attributes in transformed form such that even though if any stored template got leaked, the original fingerprint information will not be revealed to the attacker. This method also performs well in terms of FAR and FRR. However for the fingerprints which does not possess a core point this method will not be suitable and is the main limitation of this work.","Template protection, Discrete Fourier transform, Fingerprint, Ellipse, cancellable templates, biometric security, fingerprint templates, ellipse structure","The proposed method uses elliptical structures generated from fingerprint minutiae to secure fingerprint templates. The method involves extracting minutiae from fingerprint images, constructing ellipses and extracting feature sets, projecting the feature sets onto a 3D space, generating a binary string, and transforming the binary string into the frequency domain using DFT."
A. Odeh,Secure Robust and Imperceptible Algorithm for Watermarking Relational Databases,"This paper proposes a secure robust and imperceptible algorithm for watermarking relational databases. The algorithm divides the embedding algorithm into three phases: Watermark preparator, watermark position detector, and watermark embedder. The ownership identification issue is resolved by embedding owner's identity as watermark in Preparator phase.","imperceptible algorithm, Ownership identification, robust algorithm, Relational Database, watermarking, Watermark, Copyright protection, Proof of ownership, relational databases","The paper proposes a new robust secure and imperceptible embedding mechanism to resolve the two important concerns namely; owner identification and proof of ownership. The proposed mechanism involves encoding and decoding on numerical attribute of relational database in three phases; 1)Watermark preparator, 2)Watermark position detector and 3) Watermark Embedder or Detector."
A. P. Patil,Augmented Reality Wordbook App for Kindergarteners (ARWAK),"In the last two decades, augmented reality educational software tools have been used to teach various subjects to schoolchildren around the world. We developed a wordbook smartphone app and used it to teach new words to children in kindergartens in New Delhi between January and April of 2018. The app uses marker-based augmented reality technology and displays three dimensional pictures of objects whose names the children are learning blended in their immediate surrounding. The app was designed to make the learning process more interactive and intuitive. We found that children can learn slightly more number of words from the app than from a printed wordbook. However, the main benefit of the app was that it was able to increase participation by the children and keep them engaged. The teachers who used the app to teach felt that it was easy to integrate the app in the kindergarten environment and it presented information in a way suitable for young children. We recommend the use of augmented reality smartphone apps to teach children various concepts in kindergartens and schools.","vocabulary, Education, Kindergarteners, Learning, smartphone app, augmented reality, wordbook, Kindergarten","This paper presents the development and evaluation of an augmented reality wordbook smartphone app for kindergarteners. The app uses marker-based augmented reality technology to display three dimensional pictures of objects whose names the children are learning. The app was found to increase participation and engagement of children, and was easy to integrate into the kindergarten environment. The authors recommend the use of augmented reality smartphone apps to teach children various concepts in kindergartens and schools."
A. Saxena,Moisture barrier properties of xylan composite films,"This study examines the reinforcement of xylan/sorbitol films with nanocrystalline cellulose, bleached acacia fiber and softwood kraft fibers and its impact on water transmission. By AFM analysis, nanocrystalline cellulose was observed to have rod like structure with an average length of sulfuric nanocrystalline cellulose in range of 150–200 nm and a width of less than 20 nm while hydrochloric nanocrystalline cellulose had an average length of 200–300 nm and a width slightly less than 20 nm. These results are consistent with the literature reported for nanocrystalline cellulose prepared from softwood kraft pulps using sulfuric acid and hydrochloric acid. Recently, studies by Saxena et al. (2009) have reported that oat-spelt xylan, plasticized with sorbitol and reinforced with 7% sulfuric nanocrystalline cellulose increased the tensile energy absorption of the xylan films by 445% and the tensile strength of the film by 141% with respect to control xylan film. Saxena and Ragauskas (2009) have also shown that when xylan films are reinforced with 10% sulfuric nanocrystalline cellulose, WVTR reduces from 304 g/h m2 for control to 174 g mil/h m2 for xylan–sulfuric nanocrystalline cellulose films. To determine the impact of alternative cellulosic fillers on water transmission properties, a series of xylan composite films were prepared and analyzed using the water vapor transmission test. In the current work, similar experiments were performed using acacia fiber and hydrochloric prepared nanocrystalline cellulose as reinforcement in a xylan film. Because the thickness of the xylan–sulfonated nanocrystalline cellulose, xylan–softwood fiber and xylan–acacia fiber are different, the WVTR was normalized to film thickness (l) with units in mm to obtain the specific water vapor transmission rate (R = WVTR × l) with units of g mm/d m2 (Hu, Topolkaraev, Hiltner, & Baer, 2000). Xylan films reinforced with 10% acacia fiber and 10% hydrochloric nanocrystalline cellulose exhibited virtually no improvement in specific water vapor transmission rate in comparison to control. Xylan film reinforced with 10% sulfuric nanocrystalline cellulose exhibited lowest specific water transmission rate of 174 g mil/h m2 and xylan film with softwood fiber exhibited highest water transmission rate as summarized in Table 1. The water transmission rate at other levels is summarized in Fig. 1. It was found that the addition of 5% softwood kraft pulp fibers yielded a xylan film with increased specific water vapor transmission rate and a significant high water vapor transmission rate at 50% dosage with respect to control. The addition of softwood kraft fibers in the xylan film causes a significant high specific water vapor transmission rate at any dosages (5%, 10% and 50%). The addition of hydrochloric acid prepared nanocrystalline cellulose to xylan films was also analyzed for specific water transmission rate. The specific WVTR values decreased as the content of HCl generated nanocrystalline cellulose in the xylan film increased from 0%","Composites, Xylan, Nanocrystalline cellulose, Moisture barrier","This study investigates the moisture barrier properties of xylan films reinforced with various cellulosic materials, including nanocrystalline cellulose, acacia kraft pulp fibers, and softwood kraft fibers.  The researchers found that films reinforced with 10% sulfuric acid-prepared nanocrystalline cellulose exhibited the lowest water vapor transmission rate, significantly outperforming films reinforced with other materials. The morphology and interactions between the reinforcing agents and the xylan matrix were also examined."
A. Shankara,Quantitative Comparison of a High Resolution Micro-Angiographic Fluoroscopic (MAF) Detector with a Standard Flat Panel Detector (FPD) Using the New Metric of Generalized Measured Relative Object Detectability (GM-ROD),"A novel amorphous selenium (a-Se) direct detector with CMOS readout has been designed, and relative detector performance investigated. The detector features include a 25μm pixel pitch, and 1000μm thick a-Se layer operating at 10V/μm bias field. A simulated detector DQE was determined, and used in comparative calculations of the Relative Object Detectability (ROD) family of prewhitening matched-filter (PWMF) observer and non-prewhitening matched filter (NPWMF) observer model metrics to gauge a-Se detector performance against existing high resolution micro-angiographic fluoroscopic (MAF) detectors and a standard flat panel detector (FPD). The PWMF-ROD or ROD metric compares two x-ray imaging detectors in their relative abilities in imaging a given object by taking the integral over spatial frequencies of the Fourier transform of the detector DQE weighted by an object function, divided by the comparable integral for a different detector. The generalized-ROD (G-ROD) metric incorporates clinically relevant parameters (focal-spot size, magnification, and scatter) to show the degradation in imaging performance for detectors that are part of an imaging chain. Preliminary ROD calculations using simulated spheres as the object predicted superior imaging performance by the a-Se detector as compared to existing detectors. New PWMF-G-ROD and NPWMF-G-ROD results still indicate better performance by the a-Se detector in an imaging chain over all sphere sizes for various focal spot sizes and magnifications, although a-Se performance advantages were degraded by focal spot blurring. Nevertheless, the a-Se technology has great potential to provide breakthrough abilities such as visualization of fine details including of neuro-vascular perforator vessels and of small vascular devices.","Comparative metrics, generalized metrics, micro-angiography, DQE, Detector Performance, relative object detectability, Microangiography, CMOS, Flat Panel Detector, amorphous selenium","This paper presents a comparative study of a novel amorphous selenium (a-Se) direct detector with existing high resolution micro-angiographic fluoroscopic (MAF) detectors and a standard flat panel detector (FPD). The study utilizes the Relative Object Detectability (ROD) family of metrics, including the generalized-ROD (G-ROD) metric, to assess the performance of these detectors in imaging small objects.  The results indicate that the a-Se detector exhibits superior imaging performance compared to existing detectors, particularly in terms of resolving fine details.  While focal spot blurring can degrade the performance advantage of the a-Se detector, its potential for breakthrough imaging capabilities in neuro-vascular applications is highlighted."
A.-C. Liew,Unique Local Features in Lip Images for Recognition,"The experiments are carried out from images taken with a camera that is used for the regular use. And the color features of a lip are not explored in the proposed research. Still the recognition system exploits the grayscale local features of a lip images and eﬃciently matches it with local features of another lip image. If the color properties of a lip image is explored for recognition along with local features, the accuracy values would increase further.","grayscale features, Lip Pattern Recognition, SIFT, lip recognition, color features, Biometric, Local Feature Extraction, local features, SURF",The paper presents the results of experiments on lip recognition using local features. The recognition system exploits the grayscale local features of lip images and achieves high accuracy. The authors suggest that exploring color properties of lip images could further improve the accuracy.
A.Bardhan,Biclustering Algorithm for E-Gov Services,"With the widespread and proactive participation of citizens through various e-governance applications, democracy in the modern era has acquired an entirely new dimension The shear diversity of e-governance users has spurred on a fresh interest in designing adaptable e-governance systems. The first step in meeting this challenge is to develop a fast and versatile automated technique to categorize users on the basis of a similarity in their online identities and behaviors. In this paper we employ a modified version of the Cheng and Church Biclustering algorithm, hitherto used primarily in the field of Genetics, to extend its applicability to a classification of e-governance users. Taking a different route from conventional approaches, we tap a variety of dynamically varying parameters that characterize the online behavior of users with a view to improving the cohesiveness of user clusters. These include the navigation patterns of a user, her access frequency and the interactivity level during her web experience. We adopt two strategies for clustering. A single level strategy categorizes users on all the three parameters taken together using the Cheng and Church (CC) algorithm. We also employ a two level clustering strategy that first finds biclusters on the basis of individual parameters using CC and then the uses cluster ids to classify the users at a second level by and K-Means clustering. An analysis of the granularity of clusters and execution time for different strategies and datasets reveals that the single level strategy is useful in categorizing experienced users who have attained a degree of familiarity with the portal and are able to change their behavior frequently. Such a group of users is quite variegated. On the other hand, the two level strategy provides a better way to classify beginners who show very slow changes and are more uniform in their web interactions.","E-Gov Services, Threshold, single levels strategy and two level strategy, Biclustering, Mean Square Residue, e-governance, CC Biclustering Algorithm","This paper proposes the most appropriate clustering strategies for differently evolving user bases. The users' online behavior is captured with a comprehensive set of attributes including navigation path, frequency of accessing each page and the interactivity level sustained by users during their web interaction. We present a comparative analysis of single level and two level clustering strategies by employing three techniques: Cheng and Church biclustering, K-Means clustering and a combination of the two. Our experiments investigate the impact on execution time, quality and number of clusters when the base dataset of users' web behaviors is changed with minor modifications and major modifications."
A.H. Rashid,Machine learning techniques for the diagnosis of Alzheimer’s disease: A review,"Alzheimer’s disease is an incurable neurodegenerative disease primarily affecting the elderly population. Efficient automated techniques are needed for early diagnosis of Alzheimers. Many novel approaches are proposed by researchers for classification of Alzheimer’s disease. However, to develop more efficient learning techniques, better understanding of the work done on Alzheimers is needed. Here, we provide a review on 165 papers from 2005-2019 using various feature extraction and machine learning techniques. The machine learning techniques are surveyed under three main categories: support vector machine (SVM), artificial neural network (ANN), and deep learning (DL) and ensemble methods.","Ensemble methods, Support vector machine, Deep learning, Alzheimer’s disease, classification, Artificial neural network, Machine learning","This paper provides a review of 165 papers on machine learning techniques for the diagnosis of Alzheimer’s disease from 2005-2019. The review covers three main categories: support vector machine (SVM), artificial neural network (ANN), and deep learning (DL) and ensemble methods. The paper discusses the importance of efficient automated techniques for early diagnosis of Alzheimers and the need for better understanding of the work done on Alzheimers to develop more efficient learning techniques."
A.P. Dimri,Impact of Eurasian Snow Cover on Indian Summer Monsoon Rainfall over the Northwestern Himalayas,"The entire Indo-Himalayan region from northwest (Kashmir) to northeast (Assam) is facing prevalence of floods and landslides in recent years causing massive loss of property, human and animal lives, infrastructure, and eventually threatening tourist activities substantially. Extremely intense rainfall event of A.D. 2013 (between 15 and 17 June) kicked off mammoth flash floods in the Kedarnath area of Uttarakhand state, resulting in huge socioeconomic losses to the state and country.","Eurasian snow cover, extreme rainfall events, flash floods, gridded data sets, Himalayas, Arctic Oscillation, northwestern Himalayas, Indian summer monsoon rainfall","The study investigates ~100-year-long monthly rainfall and air temperature time series data for a selected grid covering most parts of Uttarakhand state. The results indicate that under warming scenario, JJ rainfall (over AS) may further increase with occasional extreme rainfall spells when AO index (March) is negative."
A.S. Morris,Dynamic Equations of Motion for a Multiple Flexible Links and Flexible Joints Manipulator,"The paper presents a dynamic modelling technique for a manipulator with multiple flexible links and flexible joints, based on a combined Euler–Lagrange formulation and assumed modes method. The resulting generalised model is validated through computer simulations by considering a simplified case study of a two-link flexible manipulator with joint elasticity.","Euler-Beam theory, Rayleigh's dissipation function, Flexible joint, Flexible links, Singular perturbation, Flexible joints, Manipulator dynamics, Flexible link, Manipulator","The paper presents a dynamic modelling technique for a manipulator with multiple flexible links and flexible joints, based on a combined Euler–Lagrange formulation and assumed modes method. The resulting generalised model is validated through computer simulations by considering a simplified case study of a two-link flexible manipulator with joint elasticity. Controlling such a manipulator is more complex than controlling one with rigid joints because only a single actuation signal can be applied at each joint and this has to control the flexure of both the joint itself and the link attached to it."
